UF,UF_Sigla,Regiao,Ano_Referencia,Ranking_IPQD_Validado,IPQD_Validado,Prioridade_Validada,Prioridade_Executiva_Validada,Ranking_IPQD,IPQD,Prioridade,Prioridade_Executiva,Taxa_Desocupacao,Rendimento_Medio_Real,Percentual_Internet,Percentual_Ensino_Medio,Saldo_Caged,Estoque_Caged,Taxa_Caged_Estoque_Pct,Populacao_Milhoes,Score_Desemprego,Score_Baixa_Renda,Score_Baixo_Acesso_Digital,Score_Baixo_Dinamismo_Caged,Fonte_Base_UF,Fonte_Populacao,Fonte_Rendimento_Referencia,Fonte_Escolaridade_Referencia,Fonte_CAGED_Referencia,Status_Metodologico,Decisao_Metodologica,Observacao_Metodologica
Maranhão,MA,Nordeste,2025.0,1,88.93,Alta,Prioridade imediata,3.0,57.56,Alta,Prioridade imediata,8.1,1600.0,80.0,30.0,20000.0,1610000.0,1.2422360248447204,7.0,73.97,100.0,100.0,83.71,analise_prioridade_digital_uf.csv / base_ipqd_estados_tratada.csv,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html,https://agenciadenoticias.ibge.gov.br/agencia-sala-de-imprensa/2013-agencia-de-noticias/releases/45942-ibge-divulga-rendimento-domiciliar-per-capita-2025-para-brasil-e-unidades-da-federacao,https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/43699-indicadores-educacionais-avancam-em-2024-mas-atraso-escolar-aumenta,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/estatisticas-trabalho/o-pdet/o-que-e-caged,Validado com ressalvas,Usar IPQD_Validado como ranking principal; manter IPQD original como versão expandida/histórica.,"IPQD validado recalculado sem usar escolaridade e população como variáveis de pontuação. CAGED usado como indicador relativo de dinamismo formal por UF, não como fechamento contábil nacional. População mantida como escala demográfica aproximada em milhões. Escolaridade mantida como variável auxiliar até extração oficial por UF no SIDRA/PNAD Educação."
Piauí,PI,Nordeste,2025.0,2,88.65,Alta,Prioridade imediata,2.0,57.9,Alta,Prioridade imediata,8.9,1700.0,82.0,32.0,10000.0,736000.0,1.358695652173913,3.2,84.93,97.96,88.89,80.04,analise_prioridade_digital_uf.csv / base_ipqd_estados_tratada.csv,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html,https://agenciadenoticias.ibge.gov.br/agencia-sala-de-imprensa/2013-agencia-de-noticias/releases/45942-ibge-divulga-rendimento-domiciliar-per-capita-2025-para-brasil-e-unidades-da-federacao,https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/43699-indicadores-educacionais-avancam-em-2024-mas-atraso-escolar-aumenta,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/estatisticas-trabalho/o-pdet/o-que-e-caged,Validado com ressalvas,Usar IPQD_Validado como ranking principal; manter IPQD original como versão expandida/histórica.,"IPQD validado recalculado sem usar escolaridade e população como variáveis de pontuação. CAGED usado como indicador relativo de dinamismo formal por UF, não como fechamento contábil nacional. População mantida como escala demográfica aproximada em milhões. Escolaridade mantida como variável auxiliar até extração oficial por UF no SIDRA/PNAD Educação."
Alagoas,AL,Nordeste,2025.0,3,87.31,Alta,Prioridade imediata,1.0,57.95,Alta,Prioridade imediata,9.2,1750.0,82.5,33.0,12000.0,736000.0,1.6304347826086956,3.2,89.04,96.94,86.11,71.49,analise_prioridade_digital_uf.csv / base_ipqd_estados_tratada.csv,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html,https://agenciadenoticias.ibge.gov.br/agencia-sala-de-imprensa/2013-agencia-de-noticias/releases/45942-ibge-divulga-rendimento-domiciliar-per-capita-2025-para-brasil-e-unidades-da-federacao,https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/43699-indicadores-educacionais-avancam-em-2024-mas-atraso-escolar-aumenta,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/estatisticas-trabalho/o-pdet/o-que-e-caged,Validado com ressalvas,Usar IPQD_Validado como ranking principal; manter IPQD original como versão expandida/histórica.,"IPQD validado recalculado sem usar escolaridade e população como variáveis de pontuação. CAGED usado como indicador relativo de dinamismo formal por UF, não como fechamento contábil nacional. População mantida como escala demográfica aproximada em milhões. Escolaridade mantida como variável auxiliar até extração oficial por UF no SIDRA/PNAD Educação."
Amapá,AP,Norte,2025.0,4,85.1,Alta,Prioridade imediata,7.0,52.74,Média,Atenção estratégica,10.0,2300.0,87.5,43.0,2000.0,184000.0,1.0869565217391304,0.8,100.0,85.71,58.33,88.6,analise_prioridade_digital_uf.csv / base_ipqd_estados_tratada.csv,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html,https://agenciadenoticias.ibge.gov.br/agencia-sala-de-imprensa/2013-agencia-de-noticias/releases/45942-ibge-divulga-rendimento-domiciliar-per-capita-2025-para-brasil-e-unidades-da-federacao,https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/43699-indicadores-educacionais-avancam-em-2024-mas-atraso-escolar-aumenta,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/estatisticas-trabalho/o-pdet/o-que-e-caged,Validado com ressalvas,Usar IPQD_Validado como ranking principal; manter IPQD original como versão expandida/histórica.,"IPQD validado recalculado sem usar escolaridade e população como variáveis de pontuação. CAGED usado como indicador relativo de dinamismo formal por UF, não como fechamento contábil nacional. População mantida como escala demográfica aproximada em milhões. Escolaridade mantida como variável auxiliar até extração oficial por UF no SIDRA/PNAD Educação."
Pernambuco,PE,Nordeste,2025.0,5,82.03,Alta,Prioridade imediata,5.0,55.85,Alta,Prioridade imediata,9.2,1900.0,84.0,36.0,45000.0,2185000.0,2.059496567505721,9.5,89.04,93.88,77.78,57.99,analise_prioridade_digital_uf.csv / base_ipqd_estados_tratada.csv,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html,https://agenciadenoticias.ibge.gov.br/agencia-sala-de-imprensa/2013-agencia-de-noticias/releases/45942-ibge-divulga-rendimento-domiciliar-per-capita-2025-para-brasil-e-unidades-da-federacao,https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/43699-indicadores-educacionais-avancam-em-2024-mas-atraso-escolar-aumenta,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/estatisticas-trabalho/o-pdet/o-que-e-caged,Validado com ressalvas,Usar IPQD_Validado como ranking principal; manter IPQD original como versão expandida/histórica.,"IPQD validado recalculado sem usar escolaridade e população como variáveis de pontuação. CAGED usado como indicador relativo de dinamismo formal por UF, não como fechamento contábil nacional. População mantida como escala demográfica aproximada em milhões. Escolaridade mantida como variável auxiliar até extração oficial por UF no SIDRA/PNAD Educação."
Sergipe,SE,Nordeste,2025.0,6,78.82,Alta,Prioridade imediata,8.0,51.44,Média,Atenção estratégica,8.0,2000.0,85.0,38.0,8000.0,529000.0,1.5122873345935728,2.3,72.6,91.84,72.22,75.21,analise_prioridade_digital_uf.csv / base_ipqd_estados_tratada.csv,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html,https://agenciadenoticias.ibge.gov.br/agencia-sala-de-imprensa/2013-agencia-de-noticias/releases/45942-ibge-divulga-rendimento-domiciliar-per-capita-2025-para-brasil-e-unidades-da-federacao,https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/43699-indicadores-educacionais-avancam-em-2024-mas-atraso-escolar-aumenta,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/estatisticas-trabalho/o-pdet/o-que-e-caged,Validado com ressalvas,Usar IPQD_Validado como ranking principal; manter IPQD original como versão expandida/histórica.,"IPQD validado recalculado sem usar escolaridade e população como variáveis de pontuação. CAGED usado como indicador relativo de dinamismo formal por UF, não como fechamento contábil nacional. População mantida como escala demográfica aproximada em milhões. Escolaridade mantida como variável auxiliar até extração oficial por UF no SIDRA/PNAD Educação."
Bahia,BA,Nordeste,2025.0,7,78.64,Alta,Prioridade imediata,4.0,56.55,Alta,Prioridade imediata,9.2,1850.0,83.5,35.0,94380.0,3450000.0,2.7356521739130435,15.0,89.04,94.9,80.56,36.71,analise_prioridade_digital_uf.csv / base_ipqd_estados_tratada.csv,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html,https://agenciadenoticias.ibge.gov.br/agencia-sala-de-imprensa/2013-agencia-de-noticias/releases/45942-ibge-divulga-rendimento-domiciliar-per-capita-2025-para-brasil-e-unidades-da-federacao,https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/43699-indicadores-educacionais-avancam-em-2024-mas-atraso-escolar-aumenta,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/estatisticas-trabalho/o-pdet/o-que-e-caged,Validado com ressalvas,Usar IPQD_Validado como ranking principal; manter IPQD original como versão expandida/histórica.,"IPQD validado recalculado sem usar escolaridade e população como variáveis de pontuação. CAGED usado como indicador relativo de dinamismo formal por UF, não como fechamento contábil nacional. População mantida como escala demográfica aproximada em milhões. Escolaridade mantida como variável auxiliar até extração oficial por UF no SIDRA/PNAD Educação."
Ceará,CE,Nordeste,2025.0,8,77.83,Alta,Prioridade imediata,6.0,53.0,Média,Atenção estratégica,7.5,1800.0,83.0,34.0,40000.0,2116000.0,1.890359168241966,9.2,65.75,95.92,83.33,63.31,analise_prioridade_digital_uf.csv / base_ipqd_estados_tratada.csv,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html,https://agenciadenoticias.ibge.gov.br/agencia-sala-de-imprensa/2013-agencia-de-noticias/releases/45942-ibge-divulga-rendimento-domiciliar-per-capita-2025-para-brasil-e-unidades-da-federacao,https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/43699-indicadores-educacionais-avancam-em-2024-mas-atraso-escolar-aumenta,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/estatisticas-trabalho/o-pdet/o-que-e-caged,Validado com ressalvas,Usar IPQD_Validado como ranking principal; manter IPQD original como versão expandida/histórica.,"IPQD validado recalculado sem usar escolaridade e população como variáveis de pontuação. CAGED usado como indicador relativo de dinamismo formal por UF, não como fechamento contábil nacional. População mantida como escala demográfica aproximada em milhões. Escolaridade mantida como variável auxiliar até extração oficial por UF no SIDRA/PNAD Educação."
Paraíba,PB,Nordeste,2025.0,9,73.07,Alta,Prioridade imediata,9.0,49.64,Média,Atenção estratégica,7.0,1950.0,84.5,37.0,18000.0,942999.0,1.90880372089472,4.1,58.9,92.86,75.0,62.73,analise_prioridade_digital_uf.csv / base_ipqd_estados_tratada.csv,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html,https://agenciadenoticias.ibge.gov.br/agencia-sala-de-imprensa/2013-agencia-de-noticias/releases/45942-ibge-divulga-rendimento-domiciliar-per-capita-2025-para-brasil-e-unidades-da-federacao,https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/43699-indicadores-educacionais-avancam-em-2024-mas-atraso-escolar-aumenta,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/estatisticas-trabalho/o-pdet/o-que-e-caged,Validado com ressalvas,Usar IPQD_Validado como ranking principal; manter IPQD original como versão expandida/histórica.,"IPQD validado recalculado sem usar escolaridade e população como variáveis de pontuação. CAGED usado como indicador relativo de dinamismo formal por UF, não como fechamento contábil nacional. População mantida como escala demográfica aproximada em milhões. Escolaridade mantida como variável auxiliar até extração oficial por UF no SIDRA/PNAD Educação."
Amazonas,AM,Norte,2025.0,10,72.13,Alta,Prioridade imediata,12.0,44.69,Média,Atenção estratégica,7.8,2600.0,90.0,45.0,9000.0,920000.0,0.9782608695652175,4.0,69.86,79.59,44.44,92.02,analise_prioridade_digital_uf.csv / base_ipqd_estados_tratada.csv,https://www.ibge.gov.br/estatisticas/sociais/populacao/9103-estimativas-de-populacao.html,https://agenciadenoticias.ibge.gov.br/agencia-sala-de-imprensa/2013-agencia-de-noticias/releases/45942-ibge-divulga-rendimento-domiciliar-per-capita-2025-para-brasil-e-unidades-da-federacao,https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/43699-indicadores-educacionais-avancam-em-2024-mas-atraso-escolar-aumenta,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/estatisticas-trabalho/o-pdet/o-que-e-caged,Validado com ressalvas,Usar IPQD_Validado como ranking principal; manter IPQD original como versão expandida/histórica.,"IPQD validado recalculado sem usar escolaridade e população como variáveis de pontuação. CAGED usado como indicador relativo de dinamismo formal por UF, não como fechamento contábil nacional. População mantida como escala demográfica aproximada em milhões. Escolaridade mantida como variável auxiliar até extração oficial por UF no SIDRA/PNAD Educação."
